set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
10280,Creator 10280 Blumenstrauß,,,,50.00,0
60469,City 60469 Hauptbahnhof,,,,75.00,0
60466,City 60466 Gelber Bulldozer,,,,59.99,0
30727,Star Wars 30727 TIE Advanced Mini 30er Box,,,,119.70,0
80036,Monkie Kid 80036 Stadt der Laternen,,,,160.00,0
40487,Ideas 40487 Segelboot Abenteuer,,,,39.99,0
76304,Super Heroes 76304 Batman Forever Batmobil,,,,89.99,0
76975,Jurassic World 76975 Flucht vor dem T.Rex,,,,49.99,0
31167,Creator 31167 Geisterhaus 3-in-1,,,,80.00,0
80024,Monkie Kid 80024 Berg der Blumen und Früchte,,,,289.99,0
40703,Ninjago Mikromodelle 40703 40704 40705 40706,,,,129.99,0
10343,Icons 10343 Mini-Orchidee,,,,29.99,0
40814,40814 Schwebender Baby-Elefant,,,,31.99,0
75399,Star Wars 75399 Rebel U-Wing Starfighter,,,,69.99,0
40678,40678 Feiertagskalender,,,,29.99,0
11502,Icons 11502 Sonnenblumen,,,,59.99,0
43277,Disney 43277 Cruella de Vils Auto,,,,49.99,0
60503,City 60503 Hubschrauber der Küstenwache,,,,59.99,0
60487,City 60487 Gelbes Taxi,,,,19.99,0
40720,Disney 40720 Mini-Dornröschenschloss,,,,44.99,0
30390,Jurassic World 30390 Dinosaur Market 30er BOX,,,,105.00,0
40779,Promotional 40779 Jahr des Pferdes,,,,14.99,0
75420,Star Wars 75420 SMART Play: Lukes Landspeeder,,,,39.99,0
42171,Technic 42171 Mercedes-AMG F1 W14 E Performance,,,,191.00,0
76456,Harry Potter 76456 Adventskalender 2025,,,,34.99,0
76470,Harry Potter 76470 Fliegender Ford Anglia,,,,79.99,0
42167,Technic 42167 Mack LR Electric Müllwagen,,,,34.99,0
75436,Star Wars 75436 Mandalorianer und Grogu Speeder Bike,,,,14.99,0
76970,Jurassic World 76970 Babydinosaurier Dolores: Aquilops,,,,24.99,0
60474,City 60474 F1 Startaufstellung VCARB & Sauber,,,,39.99,0
11509,Icons 11509 Blühender Kaktus,,,,29.99,0
42146,Technic 42146 Liebherr LR 13000 Raupenkran,,,,652.79,0
40669,Super Heroes 40669 Iron Man MK5,,,,14.99,0
76433,Harry Potter 76433 Zaubertrankpflanze: Alraune,,,,64.99,0
5007906,5007906 Hermine Granger Schlüsselleuchte,,,,19.99,0
40763,Creator 40763 Weltkindertag-Teddy,,,,25.00,0
42224,Technic 42224 Porsche 911 GT3 R REXY AO Racing,,,,139.99,0
40359,40359 Bilderrahmen,,,,18.99,0
60422,City 60422 Hafen mit Frachtschiff,,,,109.99,0
40675,BrickHeadz 40675 Klon Commander Cody,,,,14.99,0
71858,Ninjago 71858 15-Jubiläum Vier-Waffen-Schmiede,,,,99.99,0
11501,Botanicals 11501 Tulpenstrauß,,,,59.99,0
40548,BrickHeadz 40548 Hommage an die Spice Girls EOL,,,,35.00,0
60478,City 60478 Betonmischer,,,,39.99,0
40711,40711 Igel und ihr Picknick-Date,,,,19.99,0
76969,Jurassic World 76969 Dino-Fossilien: Triceratops-Schädel,,,,44.99,0
80103,80103 Drachenbootrennen,,,,69.00,0
40796,BrickHeadz 40796 Helden und Bösewichte Rache der Sith,,,,55.00,0
40885,Creator 40885 Entenfamilie,,,,39.00,0
60367,City 60367 Passagierflugzeug,,,,99.99,0
10291,Creator Expert 10291 Queer Eye Loft der Fab 5,,,,86.39,0
80013,Monkie Kid 80013 Geheime Teambasis,,,,219.99,0
75440,Star Wars 75440 AT-AT,,,,64.99,0
40798,BrickHeadz 40798 Roter Panda Mei,,,,14.99,0
40676,BrickHeadz 40676 Die dunkle Bedrohung,,,,50.00,0
60499,City 60499 Flughafenlöschfahrzeug,,,,69.99,0
42165,Technic 42165 Mercedes-AMG F1 W14 Pull-Back,,,,29.99,0
75443,Star Wars 75443 Grogus Zuhause,,,,19.99,0
42096,Technic 42096 Porsche 911 RSR,,,,191.99,0
42121,Technic 42121 Hydraulikbagger EOL,,,,139.99,0
40682,40682 Frühlingsgartenhaus,,,,19.99,0
75422,Star Wars 75422 SMART Play: Jedi-Training Yodas Hütte,,,,69.99,0
40547,BrickHeadz 40547 Obi-Wan Kenobi & Darth Vader EOL,,,,29.99,0
71847,Ninjago 71847 Der Wächterdrache,,,,149.99,0
21279,Minecraft 21279 Der Enderman-Turm,,,,99.99,0
10347,Icons 10347 Kleiner Sommerstrauß,,,,29.99,0
60479,City 60479 Gefangenentransporter,,,,24.99,0
40622,BrickHeadz 40622 100-jähriges Disney Jubiläum,,,,39.99,0
5007907,5007907 Ron Weasley Schlüsselleuchte,,,,19.99,0
75452,Star Wars 75452 Astromech-Droide BB-8,,,,89.99,0
76972,Jurassic World 76972 Raptor: Verfolgungsjagd Geländewagen,,,,34.99,0
42602,Friends 42602 Fahrzeug zur Weltraumforschung,,,,59.99,0
60505,"City 60505 Flugzeug, Wartungsfahrzeug, Luftkissenboot",,,,69.99,0
75448,Star Wars 75448 Klon-Schocktruppen Mech,,,,19.99,0
31174,Creator 31174 Retro-Telefon,,,,29.99,0
30683,Speed Champions 30683 McLaren Formel-1 30er Box,,,,105.00,0
31168,Creator 31168 Ritterburg im Mittelalter,,,,109.99,0
76459,Harry Potter 76459 Hagrids und Harrys Flucht Ligusterweg,,,,24.99,0
75441,Star Wars 75441 Angriffskreuzer der Venator-Klasse,,,,79.99,0
76461,Harry Potter 76461 Wichtel,,,,34.99,0
75367,Star Wars 75367 Venator-Klasse Angriffskreuzer,,,,623.99,0
21273,Minecraft 21273 Angriff des Ghast-Ballons,,,,69.99,0
