set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
75409,LEGO® Star Wars 75409 Jango Fetts Sternenschiff Firespray-Klasse,,,,256.68,126
10352,LEGO® Icons 10352 The Simpsons™: Krusty Burger EXKLUSIV!,,,,168.34,125
75435,LEGO® Star Wars 75435 MTT der Separatisten Schlacht von Felucia,,,,114.68,125
21355,LEGO® Ideas 21355 Die Entstehung von MINT NEU OVP EXKLUSIV!,,,,71.99,124
40801,"BrickHeadz 40801 Mike, Dustin, Lucas und Will",,,,44.99,124
21357,LEGO® Ideas 21357 Disney Pixar Luxo Jr. NEU!,,,,51.30,123
10360,LEGO® Icons 10360 Spaceshuttle-Transport-Jumbo EXKLUSIV!,,,,210.00,122
40921,LEGO® 40921 Große Minifigur Blauer Astronaut EXKLUSIV!,,,,58.19,110
21271,LEGO® Minecraft 21271 Prüfungskammern NEU OVP EXKLUSIV!,,,,40.31,107
43021,LEGO® 43021 Nike Dunk Trickshot EXKLUSIV!,,,,46.49,105
77252,LEGO® Speed Champions 77252 APXGP Team Race Car F1 Der Film,,,,28.79,100
40820,40820 Große Weihnachtsmann-Minifigur,,,,75.84,97
75406,LEGO® Star Wars 75406 Kylo Rens Kommandoshuttle NEU OVP,,,,64.99,96
71855,LEGO® Ninjago 71855 Showdown mit dem Ninja-Drachen Riyu,,,,43.20,95
42175,LEGO® Technic 42175 Volvo FMX LKW mit EC230 Electric Raupenbagger,,,,164.16,94
77015,Indiana Jones 77015 Tempel des goldenen Götzen,,,,153.60,93
21337,LEGO® Ideas 21337 Tischkicker NEU OVP EXKLUSIV!,,,,226.99,92
60475,City 60475 Adventskalender 2025,,,,32.19,91
31212,LEGO® ART 31212 Die Milchstraßen-Galaxie NEU OVP!,,,,155.10,90
21276,LEGO® Minecraft 21276 Der Creeper,,,,39.99,88
60512,LEGO® City 60512 Mountainbike-Abenteuervan EXKLUSIV!,,,,22.99,83
40681,LEGO® Icons 40681 Retro Food Truck NEU OVP EXKLUSIV!,,,,37.99,83
40819,LEGO® 40819 Große Rennfahrer-Minifigur EXKLUSIV!,,,,62.39,80
76300,LEGO® Super Heroes 76300 Arkham Asylum NEU OVP EXKLUSIV!,,,,286.00,79
11384,LEGO® Icons 11384 Golden Retriever Welpe NEU OVP EXKLUSIV!,,,,105.59,79
40409,LEGO® 40409 Hot Rod NEU OVP,,,,20.23,79
40916,LEGO® Botanicals 40916 Bepflanzter Bilderrahmen EXKLUSIV!,,,,37.99,78
40619,BrickHeadz 40619 EVE und WALL-E,,,,24.99,78
10333,LEGO® Icons 10333 Herr der Ringe: Barad-dûr NEU OVP EXKLUSIV!,,,,432.39,77
40560,BrickHeadz 40560 Die Professoren von Hogwarts,,,,49.99,76
40707,LEGO® 40707 Jahr der Schlange EXKLUSIV!,,,,19.19,75
75430,LEGO® Star Wars 75430 Der Ewok Wicket,,,,115.19,74
21262,LEGO® Minecraft 21262 Die Windmühlenfarm NEU EXKLUSIV!,,,,59.99,74
40766,LEGO® Promotional 40766 Hommage an Jane Austen EXKLUSIV!,,,,53.35,72
40743,40743 Weihnachtsgesteck,,,,39.00,72
40955,LEGO® 40955 Maersk-Containerschiff Zweistoffantrieb,,,,142.60,70
21356,LEGO® Ideas 21356 Flussraddampfer NEU OVP EXKLUSIV!,,,,287.99,68
71813,LEGO® Ninjago 71813 Wolfsmasken-Dojo NEU EXKLUSIV,,,,122.19,65
11375,LEGO® Icons 11375 Ferrari F2004 und Michael Schumacher,,,,65.09,63
40759,LEGO® 40759 Festtagsserie: Valentinstag Geschenk,,,,27.84,63
72046,LEGO® Gaming 72046 Game Boy NEU,,,,57.59,63
40728,Fortnite 40728 Farbenbomber,,,,19.99,63
40450,LEGO® 40450 Hommage an Amelia Earhart NEU OVP EXKLUSIV!,,,,33.60,62
60509,LEGO® City 60509 Harbor Freight Train with Crane & Truck,,,,83.66,60
40805,LEGO® 40805 Spielautomat EXKLUSIV!,,,,41.84,60
40486,40486 adidas Originals Superstar,,,,47.99,60
40817,LEGO® 40817 Gelber Reisekoffer NEU,,,,18.99,59
71048,LEGO® Minifigures 71048 Serie 27 - 12er Set,,,,42.75,58
40824,40824 Liebesbote Tweety,,,,39.99,58
40528,LEGO® Store 40528 NEU OVP EXKLUSIV!,,,,28.19,57
